Deal ID,Is public,Deal scope,Deal size,Current size under contract,Current negotiation status,Current implementation status,Spatial accuracy level,Location 1: Location,Latitude,Longitude,Target country,Intention of investment,Negotiation status,Contract farming,Crops area,Water extraction envisaged,Source of water extraction,Use of irrigation infrastructure,Presence of land conflicts,Year
2199,Yes,transnational,0,0,Concluded (Contract signed),Project abandoned,Administrative region,"Dakar, Senegal",14.764504,-17.366029,Senegal,###Food crops,##Concluded (Contract signed),Yes,###Sesame,,,,,2000
1788,Yes,transnational,150,150,Concluded (Contract signed),Project abandoned,Coordinates,"Rufisque, Senegal",14.703861,-17.24191,Senegal,###Biofuels,2007##Concluded (Contract signed),Yes,###Jatropha,,,,,2000
7979,Yes,domestic,100,100,Concluded (Contract signed),In operation (production),Approximate location,"Keur Moussa, Sénégal",14.780214,-17.115961,Senegal,###Food crops,##Concluded (Contract signed),No,,,Groundwater,Yes,No,2000
7981,Yes,transnational,100,100,Concluded (Contract signed),In operation (production),Approximate location,"Keur Moussa, Sénégal",14.780214,-17.115961,Senegal,#current##Other (please specify),2010##Concluded (Contract signed),No,,,,,Yes,2000
7988,Yes,domestic,70,0,Concluded (Contract signed),In operation (production),Administrative region,"Keur Moussa, Sénégal",14.780214,-17.115961,Senegal,###Food crops,2007##Concluded (Contract signed),No,,Yes,Groundwater,Yes,No,2000
1782,Yes,transnational,0,0,Concluded (Contract signed),Project abandoned,Administrative region,"Thies, Senegal",14.818878,-16.865039,Senegal,###Biofuels,##Intended (Under negotiation)|2007##Concluded (Contract signed),Yes,###Jatropha,Yes,Groundwater,,,2000
5278,Yes,transnational,48150,48150,Concluded (Contract signed),In operation (production),Exact location,"Diogo, Senegal",15.301203,-16.826363,Senegal,###Mining,2007##Concluded (Contract signed),No,,Yes,,,,2000
8134,Yes,transnational,0,0,Concluded (Oral Agreement),Project abandoned,Administrative region,"Tivaouane, Sénégal",14.952672,-16.811938,Senegal,###Food crops,##Concluded (Oral Agreement),,,,,,,2000
1794,Yes,transnational,10000,10000,Concluded (Contract signed),In operation (production),Administrative region,"Delta du Saloum National Park, Senegal",13.805556,-16.757222,Senegal,"###For carbon sequestration/REDD, Conservation",2008##Concluded (Oral Agreement)|2011##Concluded (Contract signed),Yes,,,,,,2000
3349,Yes,transnational,200000,0,Intended (Under negotiation),None,Administrative region,"Banjul, The Gambia",13.454876,-16.579032,"Gambia, The","###Biofuels, Food crops, Non-food agricultural commodities, Agriculture unspecified, Renewable Energy",##Intended (Under negotiation),,"###Fodder Plants (unspecified), Cassava (Maniok), Corn (Maize), Food crops (unspecified), Oil Palm, Rice, Soya Beans, Sugar Cane",Yes,,,,2000
5414,Yes,transnational,1000,1000,Concluded (Contract signed),Startup phase (no production),Administrative region,"Diokoul, Senegal",15.374591,-16.516426,Senegal,###Food crops,##Intended (Under negotiation)|2016##Concluded (Contract signed),No,###Potatoes,,,,Yes,2000
8135,Yes,domestic,1000,1000,Concluded (Contract signed),Project not started,Administrative region,"Bambey, Sénégal",14.696512,-16.458256,Senegal,###Fodder,##Concluded (Contract signed),,,,,,,2000
3775,Yes,transnational,1000,0,Intended (Under negotiation),None,Administrative region,"Fatick, Senegal",14.339017,-16.411142,Senegal,"###For carbon sequestration/REDD, Conservation",2012##Intended (Under negotiation),,,,,,,2000
1796,Yes,transnational,110,110,Concluded (Contract signed),In operation (production),Exact location,"Diama, Senegal",16.128276,-16.403045,Senegal,###Food crops,##Concluded (Contract signed),No,"###Tomatoes, Vegetables (unspecified)",,,,,2000
7932,Yes,domestic,180,180,Concluded (Contract signed),None,Coordinates,"Saint Louis, Senegal",16.12508,-16.399423,Senegal,##70#Food crops,##Concluded (Contract signed),No,,,Surface water|Lake,Yes,No,2000
8111,Yes,transnational,5000,5000,Concluded (Contract signed),In operation (production),Administrative region,"Rao, Sénégal",15.922639,-16.396422,Senegal,"###Food crops, Livestock",2013##Concluded (Contract signed),,,,,,,2000
7926,Yes,domestic,340,340,Concluded (Contract signed),In operation (production),Administrative region,"Ndiawdoune, Saint Louis",16.068579,-16.391017,Senegal,2020##340#Food crops,2003##Concluded (Contract signed),No,2020##100#Vegetables (unspecified)|2020##200#Cereals (unspecified)|2020##40#Fruit (unspecified),,Surface water|Lake,Yes,No,2000
