ia,Field1,id,country,ccode,year,region,protest,protestnum,startday,startmonth,startyear,endday,endmonth,endyear,protesterv,location,participan,protesteri,protesterd,proteste_1,proteste_2,proteste_3,staterespo,stateres_1,stateres_2,stateres_3,stateres_4,stateres_5,stateres_6,sources,notes,particip_1,FID_,FID_1,AD,LOCATION_1,FREQ,COUNTRY_1,MULT,LAT,LON,TYPE,GridIDs
1,7,4022005001,Cape Verde,402,2005,7,1,1,16,3,2005,16,3,2005,1,Praia,500,immigrants,4,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,250,392,395,Praia,2,Cape Verde,NA,14.93152,-23.51254,City,738
2,8,4022005002,Cape Verde,402,2005,7,1,2,19,3,2005,19,3,2005,0,Praia,500,Movement for Democracy (MPD),4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,250,392,395,Praia,2,Cape Verde,NA,14.93152,-23.51254,City,738
3,17,4041999001,Guinea-Bissau,404,1999,7,1,1,3,11,1999,3,11,1999,0,Bissau,170,soldiers,1,NA,NA,8,1,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,233,58,61,Bissau,21,Guinea-Bissau,NA,11.86357,-15.59767,City,706
4,18,4041999002,Guinea-Bissau,404,1999,7,1,2,28,11,1999,28,11,1999,1,"Chapa de Bissau, Mindara",50+,youths,4,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,343,89,92,"Chapa de Bissau, Mindara",1,Guinea-Bissau,1,0,0,NA,706
5,19,4041999003,Guinea-Bissau,404,1999,7,1,3,8,12,1999,8,12,1999,0,Bissau,100s,soldiers,1,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,233,58,61,Bissau,21,Guinea-Bissau,NA,11.86357,-15.59767,City,706
6,21,4042001001,Guinea-Bissau,404,2001,7,1,1,12,2,2001,12,2,2001,1,Bissau,50+,students,1,NA,NA,8,4,7,2,1,NA,NA,NA,2.9E+11,3E+11,100-999,233,58,61,Bissau,21,Guinea-Bissau,NA,11.86357,-15.59767,City,706
7,22,4042001002,Guinea-Bissau,404,2001,7,1,2,9,11,2001,9,11,2001,0,Bissau,5000,Guinean League of Human Rights and the National Union of Workers of Guinea,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,5000-10000,233,58,61,Bissau,21,Guinea-Bissau,NA,11.86357,-15.59767,City,706
8,23,4042001003,Guinea-Bissau,404,2001,7,1,3,21,11,2001,21,11,2001,0,Bissau,10000,coalition of ten opposition parties,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,5000-10000,233,58,61,Bissau,21,Guinea-Bissau,NA,11.86357,-15.59767,City,706
9,26,4042004001,Guinea-Bissau,404,2004,7,1,1,4,3,2004,4,3,2004,1,Bissau,2000,students and school children,1,NA,NA,8,4,7,6,2,NA,NA,NA,2.9E+11,3E+11,2000-4999,233,58,61,Bissau,21,Guinea-Bissau,NA,11.86357,-15.59767,City,706
10,27,4042004002,Guinea-Bissau,404,2004,7,1,2,6,10,2004,10,10,2004,1,Bissau,100s,soldiers,1,NA,NA,8,1,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,233,58,61,Bissau,21,Guinea-Bissau,NA,11.86357,-15.59767,City,706
11,28,4042005001,Guinea-Bissau,404,2005,7,1,1,17,5,2005,17,5,2005,0,Bissau,5000,students and teachers,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,5000-10000,233,58,61,Bissau,21,Guinea-Bissau,NA,11.86357,-15.59767,City,706
12,29,4042005002,Guinea-Bissau,404,2005,7,1,2,17,5,2005,17,5,2005,0,Bissau,300,pro-Yala supporters,4,NA,NA,8,4,2,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,233,58,61,Bissau,21,Guinea-Bissau,NA,11.86357,-15.59767,City,706
13,30,4042005003,Guinea-Bissau,404,2005,7,1,3,22,5,2005,22,5,2005,1,Bissau,1000s,pro-Yala supporters,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,2000-4999,233,58,61,Bissau,21,Guinea-Bissau,NA,11.86357,-15.59767,City,706
14,31,4042005004,Guinea-Bissau,404,2005,7,1,4,25,5,2005,25,5,2005,1,Bissau,100s,protesters,4,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,233,58,61,Bissau,21,Guinea-Bissau,NA,11.86357,-15.59767,City,706
